3271,4,mpu9250,277.891 1.966 90.840
3281,3,bmp280,20.760000 100404.335938
3301,4,mpu9250,277.872 1.945 90.848
3321,3,bmp280,20.760000 100404.335938
3331,4,mpu9250,277.856 1.929 90.885
3361,4,mpu9250,277.919 1.901 90.904
3381,4,mpu9250,277.934 1.894 90.875
3391,3,bmp280,20.760000 100405.093750
3411,4,mpu9250,277.951 1.895 90.833
3431,3,bmp280,20.760000 100405.093750
3441,4,mpu9250,277.946 1.883 90.854
3471,4,mpu9250,277.941 1.925 90.821
3471,3,bmp280,20.760000 100405.093750
3491,4,mpu9250,277.942 1.920 90.823
3511,3,bmp280,20.760000 100405.093750
3521,4,mpu9250,277.980 1.865 90.816
3551,3,bmp280,20.760000 100402.500000
3551,4,mpu9250,277.840 1.777 90.750
3581,4,mpu9250,277.592 1.843 90.809
3581,3,bmp280,20.760000 100402.500000
3611,4,mpu9250,277.646 1.860 90.829
3621,3,bmp280,20.770000 100403.257812
3641,4,mpu9250,277.689 1.874 90.796
3661,3,bmp280,20.770000 100403.257812
3671,4,mpu9250,277.690 1.894 90.767
3691,4,mpu9250,277.684 1.938 90.754
3701,3,bmp280,20.770000 100403.257812
3731,4,mpu9250,277.734 1.919 90.753
3731,3,bmp280,20.770000 100403.257812
3761,4,mpu9250,277.750 1.900 90.749
3771,3,bmp280,20.770000 100403.257812
3791,4,mpu9250,277.761 1.915 90.737
3811,3,bmp280,20.770000 100403.257812
3831,4,mpu9250,277.760 1.936 90.728
3851,3,bmp280,20.770000 100404.015625
3851,4,mpu9250,277.858 1.933 90.718
3881,4,mpu9250,277.847 1.952 90.721
3901,4,mpu9250,277.767 1.976 90.685
3921,3,bmp280,20.770000 100404.015625
3931,4,mpu9250,277.624 2.047 90.622
3961,4,mpu9250,277.572 1.965 90.755
3961,3,bmp280,20.770000 100404.015625
3991,4,mpu9250,277.575 1.991 90.705
4001,3,bmp280,20.770000 100404.015625
4021,4,mpu9250,277.613 2.016 90.681
4031,3,bmp280,20.770000 100404.015625
4041,4,mpu9250,277.611 1.980 90.720
4071,4,mpu9250,277.637 1.955 90.747
4101,4,mpu9250,277.601 1.967 90.761
4111,3,bmp280,20.770000 100404.015625
4131,4,mpu9250,277.610 1.961 90.752
4151,3,bmp280,20.770000 100404.015625
4161,4,mpu9250,277.639 1.932 90.758
4181,4,mpu9250,277.664 1.924 90.768
4211,4,mpu9250,277.674 1.922 90.781
4221,3,bmp280,20.779999 100404.781250
4241,4,mpu9250,277.654 1.944 90.767
4261,3,bmp280,20.779999 100404.781250
4281,4,mpu9250,277.592 1.948 90.784
4311,4,mpu9250,277.540 1.968 90.808
4331,4,mpu9250,277.567 1.936 90.817
4341,3,bmp280,20.779999 100404.781250
4361,4,mpu9250,277.517 1.984 90.809
4371,3,bmp280,20.779999 100404.781250
4391,4,mpu9250,277.568 1.979 90.750
4411,3,bmp280,20.779999 100404.781250
4421,4,mpu9250,277.587 1.954 90.788
4441,4,mpu9250,277.568 1.945 90.799
4471,4,mpu9250,277.544 1.960 90.799
4501,4,mpu9250,277.600 1.947 90.782
4521,4,mpu9250,277.566 1.964 90.758
4531,3,bmp280,20.779999 100404.781250
4551,4,mpu9250,277.569 1.977 90.773
4561,3,bmp280,20.779999 100404.781250
4581,4,mpu9250,277.624 1.968 90.786
4601,3,bmp280,20.779999 100404.781250
4611,4,mpu9250,277.599 1.995 90.786
4641,3,bmp280,20.779999 100404.781250
4651,4,mpu9250,277.574 1.986 90.793
4671,4,mpu9250,277.557 2.018 90.774
4671,3,bmp280,20.779999 100404.781250
4701,4,mpu9250,277.556 2.015 90.773
4711,3,bmp280,20.779999 100404.781250
4731,4,mpu9250,277.551 2.002 90.767
4751,3,bmp280,20.779999 100404.781250
4761,4,mpu9250,277.611 1.955 90.771
4781,4,mpu9250,277.618 1.941 90.793
4791,3,bmp280,20.779999 100405.515625
4811,4,mpu9250,277.570 1.957 90.823
4831,3,bmp280,20.779999 100405.515625
4851,4,mpu9250,277.547 1.938 90.864
4861,3,bmp280,20.779999 100405.515625
4881,4,mpu9250,277.574 1.914 90.872
4901,3,bmp280,20.779999 100405.515625
4911,4,mpu9250,277.615 1.910 90.866
