rawX,rawY,rawZ,comX,comY,comZ
407,-181,14,-124.081535,-94.508621,14
407,-164,-8,-124.063950,-94.504768,-8
418,-164,14,-124.075165,-94.504089,14
415,-176,21,-124.082565,-94.504906,21
418,-178,42,-124.088165,-94.505661,42
422,-144,36,-124.093109,-94.505653,36
405,-197,28,-124.084213,-94.504387,28
423,-159,23,-124.106400,-94.507019,23
423,-177,20,-124.102097,-94.505356,20
432,-176,46,-124.096786,-94.504311,46
420,-199,7,-124.082779,-94.500626,7
423,-183,-11,-124.056648,-94.496452,-11
426,-193,42,-124.068176,-94.498260,42
399,-175,32,-124.093071,-94.501160,32
412,-169,8,-124.107056,-94.502563,8
425,-160,17,-124.103165,-94.502281,17
408,-188,18,-124.066696,-94.496323,18
405,-161,37,-124.057671,-94.495972,37
432,-167,12,-124.029633,-94.493294,12
420,-190,11,-124.045830,-94.496979,11
425,-182,-7,-124.027855,-94.494926,-7
412,-168,16,-124.027206,-94.494102,16
418,-156,15,-124.022850,-94.493202,15
407,-183,29,-124.005821,-94.492699,29
414,-189,14,-124.005829,-94.492546,14
401,-171,9,-124.014633,-94.494186,9
425,-187,23,-124.038948,-94.496346,23
418,-150,11,-124.021584,-94.493767,11
